port_name,year,predicted_value,rank
Portal,2026,642178,42.0
Portal,2027,642745,41.0
Portal,2028,643311,38.0
Portal,2029,643877,38.0
Portal,2030,644444,37.0
Portal,2031,645010,36.0
Portal,2032,645576,36.0
Portal,2033,646143,34.0
Portal,2034,646709,33.0
Portal,2035,647275,33.0
Porthill,2026,203958,54.0
Porthill,2027,195044,53.0
Porthill,2028,186129,52.0
Porthill,2029,177214,52.0
Porthill,2030,168299,52.0
Porthill,2031,159384,49.0
Porthill,2032,150470,48.0
Porthill,2033,141555,48.0
Porthill,2034,132640,47.0
Porthill,2035,123725,48.0
Portland,2026,-29064,115.0
Portland,2027,-32958,113.0
Portland,2028,-36852,113.0
Portland,2029,-40746,112.0
Portland,2030,-44640,109.0
Portland,2031,-48534,108.0
Portland,2032,-52428,105.0
Portland,2033,-56322,104.0
Portland,2034,-60216,103.0
Portland,2035,-64110,103.0
Presidio,2026,1813243,24.0
Presidio,2027,1784827,24.0
Presidio,2028,1756411,24.0
Presidio,2029,1727995,24.0
Presidio,2030,1699579,23.0
Presidio,2031,1671163,23.0
Presidio,2032,1642747,23.0
Presidio,2033,1614331,23.0
Presidio,2034,1585915,23.0
Presidio,2035,1557499,20.0
Progreso,2026,3962004,16.0
Progreso,2027,3919567,16.0
Progreso,2028,3877130,15.0
Progreso,2029,3834693,15.0
Progreso,2030,3792257,15.0
Progreso,2031,3749820,15.0
Progreso,2032,3707383,14.0
Progreso,2033,3664946,13.0
Progreso,2034,3622509,12.0
Progreso,2035,3580072,11.0
Raymond,2026,66030,71.0
Raymond,2027,62882,68.0
Raymond,2028,59734,66.0
Raymond,2029,56586,65.0
Raymond,2030,53439,65.0
Raymond,2031,50291,64.0
